id,observed_on,time_observed_at,out_of_range,user_id,created_at,quality_grade,url,description,id_please,num_identification_agreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
17725,2011-05-20,,,32,2011-05-21 03:36:27 UTC,research,http://www.inaturalist.org/observations/17725,"Found a whole bunch of tadpoles in pools of water up Deep Canyon. 

Then I found a few adults in the afternoon,",false,1,false,,Boyd Deep Canyon Desert Research Station,33.6854963729,-116.3816070557,,,,false,,,California Chorus Frog,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
33225,2010-05-20,,,3090,2011-09-30 02:22:29 UTC,research,http://www.inaturalist.org/observations/33225,Chorus frog catching some rays on a summer day.,false,3,false,,Alder Creek in Sespe Wilderness,34.5721326435,-118.9525794983,,,,false,,,California Chorus Frog,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
46447,2006-09-02,,false,4315,2012-01-08 23:51:56 UTC,research,http://www.inaturalist.org/observations/46447,alot of frogs were in the rocks along the tar creek section and there was a high concentration of snakes to even it out.,false,2,false,,"fillmore, ca",34.4833540337,-118.9427947998,,,,false,,,California Treefrog,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
46465,2006-05-01,,false,4315,2012-01-09 00:14:59 UTC,research,http://www.inaturalist.org/observations/46465,treefrog along piru creek.,false,3,false,,"piru , ca",34.6086277799,-118.7580871582,,,,false,,,California Treefrog,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
59494,2012-03-22,,false,4818,2012-03-23 03:23:05 UTC,research,http://www.inaturalist.org/observations/59494,"",false,4,false,,Eaton Canyon,34.191561853,-118.1043791771,,,,false,,,Pseudacris cadaverina,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
84902,2012-05-28,,false,6942,2012-05-30 05:07:47 UTC,research,http://www.inaturalist.org/observations/84902,"",true,2,false,,"Bear Canyon, Angeles Crest, CA",34.262323,-118.145746,,,,false,,,California Treefrog,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
84906,2012-05-28,,false,6942,2012-05-30 05:09:36 UTC,research,http://www.inaturalist.org/observations/84906,"Mountain Yellow-legged Frog?
Many more, and many more pictures.  Some a little different in color.  When you get far enough down the canyon they are everywhere!  Salamanders also but in to deep a water to photograph.",true,4,false,,"Bear Canyon, Angeles Crest, CA",34.261213,-118.145746,,,,false,,,California Treefrog,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
91034,2012-06-09,,false,7516,2012-06-13 23:57:35 UTC,research,http://www.inaturalist.org/observations/91034,"These toads were perfectly still, apparently asleep, on a rock hanging over Trail Canyon Creek just above the waterfall. I sprinkled a little water on them to see if they were alive, and some eyes opened.",true,2,false,,"Trail Canyon Waterfall, Big Tujunga Canyon",34.322457,-118.255291,,,,false,,,California Chorus Frog (Pseudacris cadaverina),Pseudacris cadaverina,California Tree Frog,Amphibia,24254
98894,2012-07-04,,false,4623,2012-07-05 18:16:16 UTC,research,http://www.inaturalist.org/observations/98894,"",false,2,false,,"3 Sisters waterfall, CA",32.974139,-116.687611,,,,false,,,California Chorus Frog,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
117627,2012-08-29,2012-08-29 21:58:19 UTC,false,9144,2012-08-30 00:02:20 UTC,research,http://www.inaturalist.org/observations/117627,"",false,2,false,,eaton canyon park,34.1848423,-118.0954422,811,,,false,,,California Treefrog,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
145512,2012-09-12,,false,9145,2012-11-09 05:07:04 UTC,research,http://www.inaturalist.org/observations/145512,"",false,4,false,,"Eaton Canyon, CA",34.1866675767,-118.094098053,,,,false,,,California Chorus Frog (Pseudacris cadaverina),Pseudacris cadaverina,California Tree Frog,Amphibia,24254
148215,2012-11-14,2012-11-14 21:43:50 UTC,false,9168,2012-11-14 23:02:38 UTC,research,http://www.inaturalist.org/observations/148215,"",false,1,false,,"",34.194581,-118.103924,30,,,false,,,California Tree Frog (Hyla cadaverina),Pseudacris cadaverina,California Tree Frog,Amphibia,24254
148216,2012-11-14,2012-11-14 21:43:11 UTC,false,9168,2012-11-14 23:02:40 UTC,research,http://www.inaturalist.org/observations/148216,"",false,1,false,,"1274 Eastlyn Pl, Altadena, California, US",34.168354,-118.103685,1963,,,false,,,California Treefrog,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
148314,2012-11-14,2012-11-14 21:44:56 UTC,false,9167,2012-11-15 01:58:22 UTC,research,http://www.inaturalist.org/observations/148314,"",false,1,false,2,"",34.19446638,-118.10388493,98,,,false,gps,gps,Hyla cadaverina,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
148315,2012-11-14,2012-11-14 21:44:15 UTC,false,9167,2012-11-15 01:58:24 UTC,research,http://www.inaturalist.org/observations/148315,"",false,1,false,2,"",34.1944712,-118.10387289,36,,,false,gps,gps,Hyla cadaverina,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
151149,2012-11-18,,false,9104,2012-11-21 21:17:19 UTC,research,http://www.inaturalist.org/observations/151149,"",true,2,false,,hahamongna watershed park,34.2037763523,-118.1647746301,619,,,false,,,California Treefrog,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
152272,2012-10-03,,false,9281,2012-11-24 20:46:29 UTC,research,http://www.inaturalist.org/observations/152272,(baby version),false,1,false,,Eaton Canyon (Canyons first waterfall area),34.1937360775,-118.1044757366,,,,false,,,Pseudacris cadaverina,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
153356,2012-08-29,,false,9231,2012-11-27 04:37:28 UTC,research,http://www.inaturalist.org/observations/153356,"",false,3,false,,Eaton Canyon Park,34.1848423,-118.0954422,811,,,false,,,California Treefrog,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
154519,2012-10-04,,false,9193,2012-11-29 16:37:48 UTC,research,http://www.inaturalist.org/observations/154519,"",false,3,false,,Eaton Canyon,34.1623508173,-118.0846595764,,,,false,,,California Treefrog,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
156532,2012-08-29,,false,9290,2012-12-03 19:15:30 UTC,research,http://www.inaturalist.org/observations/156532,Blending in on a rock. ,false,2,false,,Eaton Canyon,34.1938248201,-118.1044006348,,,,false,,,California Treefrog,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
158325,2012-08-29,,false,9219,2012-12-06 10:37:08 UTC,research,http://www.inaturalist.org/observations/158325,"",false,3,false,,Eaton Canyon Park,34.1848423,-118.0954422,811,,open,false,,,California Tree Frog,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
160364,2010-03-15,,true,9531,2012-12-11 00:14:38 UTC,research,http://www.inaturalist.org/observations/160364,"",false,2,false,,Joshua Tree National Park,34.0910515933,-116.1447143555,,,,false,,,California Treefrog,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
161820,2012-09-19,,false,11460,2012-12-13 21:59:37 UTC,needs_id,http://www.inaturalist.org/observations/161820,"",false,0,false,,Eaton Canyon Park,34.1848423,-118.0954422,811,,,false,,,Hyla cadaverina,Pseudacris cadaverina,California Tree Frog,Amphibia,24254
